order_id,product_id,quantity_in_kg
1,1,37.19
2,4,37.19
2,10,58.95
2,3,49.21
3,9,34.37
4,10,46.51
5,1,27.85
5,10,43.77
5,2,29.1
5,8,23.05
6,9,70.71
6,1,44.73
7,9,41.47
7,7,33.81
8,8,32.78
8,5,62.23
9,3,39.84
10,6,27.31
10,5,49.87
10,3,25.35
10,2,42.51
11,2,16.48
11,10,24.06
11,7,42.36
12,6,27.89
13,10,21.0
13,5,49.28
13,1,33.54
14,9,23.84
14,2,29.43
14,7,26.43
14,1,41.61
15,10,46.99
15,6,50.65
15,4,50.73
16,1,49.06
17,5,37.51
17,2,32.52
18,2,37.87
18,7,35.08
19,8,54.16
19,6,29.22
19,3,50.02
20,6,43.56
20,4,51.68
20,5,49.55
21,10,8.56
22,9,49.86
22,4,41.04
23,8,36.41
23,7,37.36
24,9,44.29
24,4,37.45
24,6,34.88
25,4,46.02
26,6,53.9
27,5,41.16
27,2,51.62
27,4,31.58
27,10,36.07
28,4,43.55
28,8,43.13
28,7,40.06
29,3,37.18
29,5,35.89
29,10,30.37
29,2,38.06
30,10,44.85
30,7,39.78
30,9,19.92
31,4,27.13
31,3,28.09
31,8,41.23
32,1,34.81
33,3,39.58
34,7,25.98
34,2,53.71
35,7,49.02
35,8,56.83
35,5,23.18
35,9,47.04
36,2,66.29
37,6,41.2
37,2,33.96
37,5,21.39
38,3,25.82
38,8,13.97
38,1,43.6
38,6,15.6
39,9,21.14
39,3,37.53
39,2,130.72
40,9,41.37
40,4,55.47
40,3,21.11
41,3,22.53
41,9,10.16
41,1,9.15
42,8,31.26
42,1,28.56
42,2,28.01
43,5,29.16
43,4,102.79
43,1,16.43
44,10,146.18
44,2,13.55
45,8,37.06
46,9,30.96
47,3,29.33
47,8,30.21
48,5,164.97
48,9,44.09
49,4,23.12
49,9,39.59
49,10,28.44
49,6,51.73
50,7,148.81
50,6,38.35
50,8,38.51
51,2,48.88
51,4,34.57
51,9,49.32
51,1,52.55
52,1,35.89
52,9,28.89
52,4,33.84
53,1,42.77
53,2,30.29
54,4,52.69
55,1,40.62
56,2,50.86
56,9,32.75
56,4,182.58
57,8,43.09
57,4,40.29
57,3,50.46
58,4,57.25
58,8,40.09
58,7,55.97
58,2,51.86
59,2,41.98
60,6,29.73
60,7,39.52
60,9,33.58
60,4,18.54
61,2,44.29
62,7,29.28
63,2,35.98
63,4,31.24
63,9,42.6
64,9,40.55
64,8,32.18
65,7,52.58
65,3,32.46
66,8,34.67
66,4,19.97
66,2,30.74
67,9,59.94
67,2,35.99
67,1,36.19
67,6,43.81
68,2,20.65
69,3,65.47
69,7,52.39
70,8,21.77
70,4,34.19
70,7,55.2
70,1,31.51
71,7,5.0
71,1,27.71
72,5,36.97
72,8,25.03
72,10,59.59
72,4,22.84
73,3,34.72
73,4,41.57
73,5,57.3
73,2,22.77
74,10,42.39
75,6,32.8
76,1,40.84
77,9,35.38
77,10,32.62
77,3,65.34
77,1,48.24
78,3,40.85
79,10,34.16
80,4,42.49
81,2,50.62
81,4,34.43
81,1,32.53
81,5,35.73
82,7,46.62
83,5,31.48
83,4,18.55
83,6,25.35
84,5,31.97
84,7,53.94
85,5,58.63
85,8,34.73
86,2,35.11
86,1,43.14
